time;model_id;model_name;port_name;data
0;325;888837;;2256748, 0, 0, 0, 0.00
0;326;887590;;2252732, 0, 0, 0, 0.00
0;327;882416;;2235741, 0, 0, 0, 0.00
0;328;883638;;2239751, 0, 0, 0, 0.00
0;329;885758;;2246739, 0, 0, 0, 0.00
0;330;889741;;2259745, 0, 0, 0, 0.00
0;331;883318;;2238734, 0, 0, 0, 0.00
0;332;889729;;2259733, 0, 0, 0, 0.00
0;333;881503;;2232738, 0, 0, 0, 0.00
0;334;883314;;2238730, 0, 0, 0, 0.00
0;335;880906;;2230743, 0, 0, 0, 0.00
0;336;888223;;2254750, 0, 0, 0, 0.00
0;337;881514;;2232749, 0, 0, 0, 0.00
0;338;890045;;2260740, 0, 0, 0, 0.00
0;339;884532;;2242733, 0, 0, 0, 0.00
0;340;886080;;2247755, 0, 0, 0, 0.00
0;341;882410;;2235735, 0, 0, 0, 0.00
0;342;886687;;2249750, 0, 0, 0, 0.00
0;343;890671;;2262746, 0, 0, 0, 0.00
0;344;882128;;2234748, 0, 0, 0, 0.00
0;345;882127;;2234747, 0, 0, 0, 0.00
0;346;887599;;2252741, 0, 0, 0, 0.00
0;347;892532;;2268742, 0, 0, 0, 0.00
0;348;889147;;2257749, 0, 0, 0, 0.00
0;349;881810;;2233743, 0, 0, 0, 0.00
0;350;892842;;2269740, 0, 0, 0, 0.00
0;351;887303;;2251751, 0, 0, 0, 0.00
0;352;882117;;2234737, 0, 0, 0, 0.00
0;353;882116;;2234736, 0, 0, 0, 0.00
0;354;883927;;2240736, 0, 0, 0, 0.00
0;355;887588;;2252730, 0, 0, 0, 0.00
0;356;890059;;2260754, 0, 0, 0, 0.00
0;357;881818;;2233751, 0, 0, 0, 0.00
0;358;886674;;2249737, 0, 0, 0, 0.00
0;359;882121;;2234741, 0, 0, 0, 0.00
0;360;888225;;2254752, 0, 0, 0, 0.00
0;361;887296;;2251744, 0, 0, 0, 0.00
0;362;882120;;2234740, 0, 0, 0, 0.00
0;363;881814;;2233747, 0, 0, 0, 0.00
0;364;893160;;2270746, 0, 0, 0, 0.00
0;365;881812;;2233745, 0, 0, 0, 0.00
0;366;884230;;2241735, 0, 0, 0, 0.00
0;367;885454;;2245740, 0, 0, 0, 0.00
0;368;887591;;2252733, 0, 0, 0, 0.00
0;369;882718;;2236740, 0, 0, 0, 0.00
0;370;880602;;2229740, 0, 0, 0, 0.00
0;371;671692;;70370, 0, 0, 0, 0.00
0;372;883330;;2238746, 0, 0, 0, 0.00
0;373;883924;;2240733, 0, 0, 0, 0.00
0;374;889137;;2257739, 0, 0, 0, 0.00
0;375;882424;;2235749, 0, 0, 0, 0.00
0;376;880912;;2230749, 0, 0, 0, 0.00
0;377;889432;;2258745, 0, 0, 0, 0.00
0;378;880310;;2228749, 0, 0, 0, 0.00
0;379;673654;;84671, 0, 0, 0, 0.00
0;380;881516;;2232751, 0, 0, 0, 0.00
0;381;884241;;2241746, 0, 0, 0, 0.00
0;382;672027;;72853, 0, 0, 0, 0.00
0;383;673847;;86034, 0, 0, 0, 0.00
0;384;890040;;2260735, 0, 0, 0, 0.00
0;385;880305;;2228744, 0, 0, 0, 0.00
0;386;880306;;2228745, 0, 0, 0, 0.00
0;387;887606;;2252748, 0, 0, 0, 0.00
0;388;880010;;2227749, 0, 0, 0, 0.00
0;389;882126;;2234746, 0, 0, 0, 0.00
0;390;880899;;2230736, 0, 0, 0, 0.00
0;391;880601;;2229739, 0, 0, 0, 0.00
0;392;890670;;2262745, 0, 0, 0, 0.00
0;393;887903;;2253738, 0, 0, 0, 0.00
0;394;885147;;2244738, 0, 0, 0, 0.00
